;Time;E;S;ES;P
459;42.31855765382999;109;430;1;79
460;42.332469444839965;108;429;2;79
461;42.351064349716694;107;428;3;79
462;42.64702682743755;106;427;4;79
463;42.694633191657374;107;428;3;79
464;42.77296000929257;108;429;2;79
465;42.854113949079704;109;429;1;80
466;42.90014502886386;110;430;0;80
467;43.23818114223335;109;429;1;80
468;43.258287108620905;110;430;0;80
469;43.505693577205214;109;429;1;80
470;43.51144353334607;110;430;0;80
471;43.623711973096256;109;429;1;80
472;43.80901757547557;108;428;2;80
473;43.84330170693263;107;427;3;80
474;43.91379568562664;108;428;2;80
475;43.97351981153726;109;428;1;81
476;44.2758652461908;110;429;0;81
477;44.329765295619175;109;428;1;81
478;44.49330106745539;108;427;2;81
479;44.59207869335131;109;428;1;81
480;44.67621000034076;110;429;0;81
481;45.16825406104073;109;428;1;81
482;45.294348720552414;108;427;2;81
483;45.44124696880774;107;426;3;81
484;45.543416999365164;108;427;2;81
485;45.59624383802372;109;427;1;82
486;45.63258329621125;110;427;0;83
487;45.69173249088719;109;426;1;83
488;45.7520891791479;110;427;0;83
489;45.80136354596591;109;426;1;83
490;45.84978296549825;110;426;0;84
491;45.985562785369225;109;425;1;84
492;46.223130249946166;110;426;0;84
493;46.306022683576764;109;425;1;84
494;46.43303992670168;108;424;2;84
495;46.459764258821224;107;423;3;84
496;46.47786517206567;106;422;4;84
497;46.521262662517664;107;423;3;84
498;46.526944394829854;106;422;4;84
499;46.532253908733644;105;421;5;84
500;46.54037326309401;104;420;6;84
501;46.60272671737273;103;419;7;84
502;46.60361219169968;104;420;6;84
503;46.68321911573336;105;421;5;84
504;46.69280237886552;106;422;4;84
505;46.71967134103335;107;422;3;85
506;46.764660113116;108;423;2;85
507;46.77735940309924;107;422;3;85
508;46.812641300689;108;423;2;85
509;46.81771097114339;109;424;1;85
510;47.072420170268806;108;423;2;85
511;47.13616935150311;109;423;1;86
512;47.231619349748236;108;422;2;86
513;47.291767291250416;109;423;1;86
514;47.81325791010824;110;424;0;86
515;48.1045097251058;109;423;1;86
516;48.351595167897656;110;424;0;86
517;48.391369852973135;109;423;1;86
518;48.568764152203634;110;424;0;86
519;48.663369320795624;109;423;1;86
520;48.671299226323434;110;424;0;86
521;48.958430867817675;109;423;1;86
522;49.22540542449585;108;422;2;86
523;49.23052721795154;107;421;3;86
524;49.32202994607781;108;422;2;86
525;49.39241622032953;107;421;3;86
526;49.47703914060797;106;420;4;86
527;49.54212487751287;107;420;3;87
528;49.61757718096022;108;421;2;87
529;49.63711668369837;109;422;1;87
530;49.77587657876049;110;423;0;87
531;50.4974991247217;109;422;1;87
532;50.52688895699419;108;421;2;87
533;50.63901766344116;107;420;3;87
534;50.734055384541485;108;421;2;87
535;50.75917008586457;107;420;3;87
536;50.76538763235647;108;421;2;87
537;50.934080568038944;109;422;1;87
538;50.96535429380941;108;421;2;87
539;50.993682233108096;109;421;1;88
540;51.04982078762274;110;422;0;88
541;51.40848395724736;109;421;1;88
542;51.41049813108068;108;420;2;88
543;51.49052808505837;109;420;1;89
544;51.51863504643862;110;420;0;90
545;51.87484158587399;109;419;1;90
546;52.149807516911025;108;418;2;90
547;52.388297606205896;107;417;3;90
548;52.40396368152282;108;417;2;91
549;52.419715558527294;109;418;1;91
550;52.429715273498346;108;417;2;91
551;52.60716837499027;109;418;1;91
552;52.714063024573086;110;418;0;92
553;53.09880717290939;109;417;1;92
554;53.14834468208077;108;416;2;92
555;53.234499056014556;107;415;3;92
556;53.3502495223541;106;414;4;92
557;53.35561070896547;107;414;3;93
558;53.38931396699841;106;413;4;93
559;53.40542181317953;107;414;3;93
560;53.43132424105559;108;415;2;93
561;53.468781487504884;107;414;3;93
562;53.69085622042637;108;415;2;93
563;53.74791628456191;107;414;3;93
564;53.791873822674454;108;414;2;94
565;53.85715700595547;107;413;3;94
