;Time;E;S;ES;P
601;56.119179570698144;107;453;3;54
602;56.30944078573352;108;453;2;55
603;56.335670451624985;109;454;1;55
604;56.33627408611381;108;453;2;55
605;56.58217898514821;109;453;1;56
606;56.80289315103914;110;454;0;56
607;57.30308676785032;109;453;1;56
608;57.34266538831197;108;452;2;56
609;57.40274634569173;109;453;1;56
610;57.53068864967752;108;452;2;56
611;57.62750466182584;109;453;1;56
612;57.924999918017605;110;453;0;57
613;58.15435758496603;109;452;1;57
614;58.39544270482228;108;451;2;57
615;58.43838491193047;109;452;1;57
616;58.443801890622346;108;451;2;57
617;58.5008890453367;107;450;3;57
618;58.6914520120427;108;451;2;57
619;58.81088186850408;107;450;3;57
620;58.839775932122;106;449;4;57
621;58.88790720298891;107;450;3;57
622;58.89009292088991;108;451;2;57
623;58.95605429529109;107;450;3;57
624;58.97206483222253;108;451;2;57
625;59.02333159944665;109;452;1;57
626;59.12672058132065;108;451;2;57
627;59.19010594976386;109;452;1;57
628;59.486808883346455;110;453;0;57
629;59.86581347157186;109;452;1;57
630;59.98481615742689;108;451;2;57
631;60.19049488577612;107;450;3;57
632;60.2670354156519;108;451;2;57
633;60.31425362110131;107;450;3;57
634;60.374471941403904;108;451;2;57
635;60.49747565334853;109;452;1;57
636;60.51674619004469;108;451;2;57
637;60.64149200596309;109;452;1;57
638;60.67487775039549;108;451;2;57
639;60.70207226879369;109;452;1;57
640;60.830480979911755;108;451;2;57
641;60.832482001665404;107;450;3;57
642;60.93277833552071;106;449;4;57
643;60.96731106595012;107;450;3;57
644;60.997541022127;106;449;4;57
645;61.036106485370965;107;449;3;58
646;61.04268125646413;106;448;4;58
647;61.05723366522048;107;449;3;58
648;61.26588734819489;106;448;4;58
649;61.280441192723664;107;449;3;58
650;61.35057397887547;108;450;2;58
651;61.3529755413629;109;451;1;58
652;61.367760650456724;110;452;0;58
653;61.76215887599284;109;451;1;58
654;61.98690428884442;110;451;0;59
655;62.07657839846429;109;450;1;59
656;62.10440261535876;108;449;2;59
657;62.17405555040387;107;448;3;59
658;62.18626618649124;108;449;2;59
659;62.2709537301528;109;450;1;59
660;62.38617263232393;110;450;0;60
661;62.45153449007168;109;449;1;60
662;62.52451070823249;108;448;2;60
663;62.582539379746514;109;448;1;61
664;62.67417702209149;108;447;2;61
665;62.677218264911616;107;446;3;61
666;62.68414454796581;106;445;4;61
